miRNA	miRNAp
hsa-mir-302b	hsa-mir-302b-3p
hsa-mir-3139	hsa-mir-3139
hsa-mir-4458	hsa-mir-4458
hsa-mir-449a	hsa-mir-449a
hsa-mir-449b	hsa-mir-449b-5p
hsa-mir-874	hsa-mir-874-3p
hsa-mir-143	hsa-mir-143-3p
hsa-mir-145	hsa-mir-145-5p
hsa-mir-378a	hsa-mir-378a-3p
hsa-mir-378h	hsa-mir-378h
hsa-mir-146a	hsa-mir-146a-5p
hsa-mir-378e	hsa-mir-378e
hsa-mir-1271	hsa-mir-1271-5p
hsa-mir-340	hsa-mir-340-5p
hsa-mir-219a	hsa-mir-219a-5p
hsa-mir-206	hsa-mir-206
hsa-mir-133b	hsa-mir-133b
hsa-mir-30a	hsa-mir-30a-5p
hsa-mir-4465	hsa-mir-4465
hsa-mir-4644	hsa-mir-4644
hsa-mir-339	hsa-mir-339-5p
hsa-mir-148a	hsa-mir-148a-3p
hsa-mir-196b	hsa-mir-196b-5p
hsa-mir-590	hsa-mir-590-5p
hsa-mir-590	hsa-mir-590-3p
hsa-mir-653	hsa-mir-653-5p
hsa-mir-25	hsa-mir-25-3p
hsa-mir-93	hsa-mir-93-5p
hsa-mir-106b	hsa-mir-106b-5p
hsa-mir-3666	hsa-mir-3666
hsa-mir-182	hsa-mir-182-5p
hsa-mir-96	hsa-mir-96-5p
hsa-mir-183	hsa-mir-183-5p
hsa-mir-335	hsa-mir-335-5p
hsa-mir-29a	hsa-mir-29a-3p
hsa-mir-490	hsa-mir-490-3p
hsa-mir-383	hsa-mir-383-5p
hsa-mir-320a	hsa-mir-320a
hsa-mir-486	hsa-mir-486-5p
hsa-mir-599	hsa-mir-599
hsa-mir-875	hsa-mir-875-5p
hsa-mir-30b	hsa-mir-30b-5p
hsa-mir-30d	hsa-mir-30d-5p
hsa-mir-491	hsa-mir-491-5p
hsa-mir-31	hsa-mir-31-5p
hsa-mir-876	hsa-mir-876-5p
hsa-mir-873	hsa-mir-873-5p
hsa-mir-204	hsa-mir-204-5p
hsa-let-7f	hsa-let-7f-5p
hsa-let-7d	hsa-let-7d-5p
hsa-mir-23b	hsa-mir-23b-3p
hsa-mir-27b	hsa-mir-27b-3p
hsa-mir-32	hsa-mir-32-5p
hsa-mir-455	hsa-mir-455-5p
hsa-mir-199b	hsa-mir-199b-5p
hsa-mir-126	hsa-mir-126-3p
hsa-mir-4770	hsa-mir-4770
hsa-mir-23c	hsa-mir-23c
hsa-mir-221	hsa-mir-221-3p
hsa-mir-222	hsa-mir-222-3p
hsa-mir-362	hsa-mir-362-3p
hsa-mir-98	hsa-mir-98-5p
hsa-mir-223	hsa-mir-223-3p
hsa-mir-421	hsa-mir-421
hsa-mir-374b	hsa-mir-374b-5p
hsa-mir-374a	hsa-mir-374a-5p
hsa-mir-384	hsa-mir-384
hsa-mir-361	hsa-mir-361-5p
hsa-mir-448	hsa-mir-448
hsa-mir-363	hsa-mir-363-3p
hsa-mir-20b	hsa-mir-20b-5p
hsa-mir-18b	hsa-mir-18b-5p
hsa-mir-106a	hsa-mir-106a-5p
hsa-mir-450a	hsa-mir-450a-5p
hsa-mir-542	hsa-mir-542-3p
hsa-mir-503	hsa-mir-503-5p
hsa-mir-424	hsa-mir-424-5p
hsa-mir-504	hsa-mir-504-5p
hsa-mir-505	hsa-mir-505-3p
hsa-mir-506	hsa-mir-506-3p
hsa-mir-224	hsa-mir-224-5p
